# Generated by Tools/threads/flagoff-ledger.py (--base origin/main). One row per pre-existing function that has code the branch added
# outside every flag-on gate. Columns verdict, reason, reviewer are maintained by hand and survive regeneration.
# verdict: shape | restored | deliberate | data | fail-stop | lock | atomic | upstream-fix | flag-on-arm (see docs/threads/FLAG-OFF-LANDING.md L3).
file	function	ungated_lines	auto	verdict	reason	reviewer	note
Source/JavaScriptCore/debugger/Debugger.cpp	void Debugger::detach(JSGlobalObject* globalObject, ReasonForDetach reason)	17	debug-assert,gate-test	gate	an inserted gate test: one predicted-false byte test of a frozen Config or option byte flag off	tool	
Source/JavaScriptCore/debugger/Debugger.cpp	void Debugger::didAwait(CallFrame*, JSValue generatorValue)	1	gate-test	gate	an inserted gate test: one predicted-false byte test of a frozen Config or option byte flag off	tool	
Source/JavaScriptCore/debugger/Debugger.cpp	void Debugger::didCreateInternalFunction(InternalFunction& internalFunction)	1	gate-test	gate	an inserted gate test: one predicted-false byte test of a frozen Config or option byte flag off	tool	
Source/JavaScriptCore/debugger/Debugger.cpp	void Debugger::didCreateNativeExecutable(NativeExecutable& nativeExecutable)	1	gate-test	gate	an inserted gate test: one predicted-false byte test of a frozen Config or option byte flag off	tool	
Source/JavaScriptCore/debugger/Debugger.cpp	void Debugger::didExecuteProgram(CallFrame* callFrame)	2	gate-test	gate	an inserted gate test: one predicted-false byte test of a frozen Config or option byte flag off	tool	
Source/JavaScriptCore/debugger/Debugger.cpp	void Debugger::didQueueMicrotask(JSGlobalObject* globalObject, MicrotaskIdentifier identifier)	1	gate-test	gate	an inserted gate test: one predicted-false byte test of a frozen Config or option byte flag off	tool	
Source/JavaScriptCore/debugger/Debugger.cpp	void Debugger::didReachDebuggerStatement(CallFrame* callFrame)	1	gate-test	gate	an inserted gate test: one predicted-false byte test of a frozen Config or option byte flag off	tool	
Source/JavaScriptCore/debugger/Debugger.cpp	void Debugger::didRunMicrotask(JSGlobalObject* globalObject, MicrotaskIdentifier identifier)	1	gate-test	gate	an inserted gate test: one predicted-false byte test of a frozen Config or option byte flag off	tool	
Source/JavaScriptCore/debugger/Debugger.cpp	void Debugger::exception(JSGlobalObject* globalObject, CallFrame* callFrame, JSValue exception, bool hasCatchHandler)	1	gate-test	gate	an inserted gate test: one predicted-false byte test of a frozen Config or option byte flag off	tool	
Source/JavaScriptCore/debugger/Debugger.cpp	void Debugger::pauseIfNeeded(JSGlobalObject* globalObject)	1	debug-assert,gate-test	gate	an inserted gate test: one predicted-false byte test of a frozen Config or option byte flag off	tool	
Source/JavaScriptCore/debugger/Debugger.cpp	void Debugger::recompileAllJSFunctions()	2	other				
Source/JavaScriptCore/debugger/Debugger.cpp	void Debugger::registerCodeBlock(CodeBlock* codeBlock)	4	gate-test	gate	an inserted gate test: one predicted-false byte test of a frozen Config or option byte flag off	tool	
Source/JavaScriptCore/debugger/Debugger.cpp	void Debugger::returnEvent(CallFrame* callFrame)	2	gate-test	gate	an inserted gate test: one predicted-false byte test of a frozen Config or option byte flag off	tool	
Source/JavaScriptCore/debugger/Debugger.cpp	void Debugger::setSteppingMode(SteppingMode mode)	2	other				
Source/JavaScriptCore/debugger/Debugger.cpp	void Debugger::sourceParsed(JSGlobalObject* globalObject, SourceProvider* sourceProvider, int errorLine, const String& errorMessage)	1	gate-test	gate	an inserted gate test: one predicted-false byte test of a frozen Config or option byte flag off	tool	
Source/JavaScriptCore/debugger/Debugger.cpp	void Debugger::stepOutOfFunction()	1	other				
Source/JavaScriptCore/debugger/Debugger.cpp	void Debugger::toggleBreakpoint(Breakpoint& breakpoint, Debugger::BreakpointState enabledOrNot)	2	other				
Source/JavaScriptCore/debugger/Debugger.cpp	void Debugger::unwindEvent(CallFrame* callFrame)	2	gate-test	gate	an inserted gate test: one predicted-false byte test of a frozen Config or option byte flag off	tool	
Source/JavaScriptCore/debugger/Debugger.cpp	void Debugger::willAwait(CallFrame* callFrame, JSValue generatorValue)	1	gate-test	gate	an inserted gate test: one predicted-false byte test of a frozen Config or option byte flag off	tool	
Source/JavaScriptCore/debugger/Debugger.cpp	void Debugger::willCallInternalFunction(InternalFunction& internalFunction)	1	gate-test	gate	an inserted gate test: one predicted-false byte test of a frozen Config or option byte flag off	tool	
Source/JavaScriptCore/debugger/Debugger.cpp	void Debugger::willCallNativeExecutable(CallFrame* callFrame)	1	gate-test	gate	an inserted gate test: one predicted-false byte test of a frozen Config or option byte flag off	tool	
Source/JavaScriptCore/debugger/Debugger.cpp	void Debugger::willExecuteProgram(CallFrame* callFrame)	1	gate-test	gate	an inserted gate test: one predicted-false byte test of a frozen Config or option byte flag off	tool	
Source/JavaScriptCore/debugger/Debugger.cpp	void Debugger::willRunMicrotask(JSGlobalObject* globalObject, MicrotaskIdentifier identifier)	1	gate-test	gate	an inserted gate test: one predicted-false byte test of a frozen Config or option byte flag off	tool	
Source/JavaScriptCore/debugger/DebuggerCallFrame.cpp	JSValue DebuggerCallFrame::evaluateWithScopeExtension(VM& vm, const String& script, JSObject* scopeExtensionObject, NakedPtr<Exception>& exception)	1	other				
Source/JavaScriptCore/debugger/DebuggerParseData.cpp	template <DebuggerParseInfoTag T> bool gatherDebuggerParseData(VM& vm, const SourceCode& source, DebuggerParseData& debuggerParseData)	1	lock,gate-test				
Source/JavaScriptCore/dfg/DFGAbstractInterpreterInlines.h	template<typename AbstractStateType> bool AbstractInterpreter<AbstractStateType>::executeEffects(unsigned clobberLimit, Node* node)	21	gate-test	gate	an inserted gate test: one predicted-false byte test of a frozen Config or option byte flag off	tool	
Source/JavaScriptCore/dfg/DFGAdaptiveStructureWatchpoint.cpp	bool AdaptiveStructureWatchpoint::install(VM&)	2	gate-test	gate	an inserted gate test: one predicted-false byte test of a frozen Config or option byte flag off	tool	
Source/JavaScriptCore/dfg/DFGAdaptiveStructureWatchpoint.cpp	void AdaptiveStructureWatchpoint::fireInternal(VM& vm, const FireDetail& detail)	1	other				
Source/JavaScriptCore/dfg/DFGArrayMode.cpp	ArrayMode ArrayMode::fromObserved(ArrayProfile profile, Array::Action action, bool makeSafe)	2	gate-test	gate	an inserted gate test: one predicted-false byte test of a frozen Config or option byte flag off	tool	
Source/JavaScriptCore/dfg/DFGArrayMode.cpp	ArrayMode ArrayMode::refine( Graph& graph, Node* node, SpeculatedType base, SpeculatedType index, SpeculatedType value) const	6	other				
Source/JavaScriptCore/dfg/DFGArrayMode.cpp	bool ArrayMode::permitsBoundsCheckLowering() const	1	other				
Source/JavaScriptCore/dfg/DFGArrayMode.cpp	void ArrayMode::dump(PrintStream& out) const	2	other				
Source/JavaScriptCore/dfg/DFGArrayMode.h	(no enclosing function found)	3	other				
Source/JavaScriptCore/dfg/DFGArrayMode.h	ArrayMode withAction(Array::Action action) const	1	other				
Source/JavaScriptCore/dfg/DFGArrayMode.h	ArrayMode withArrayClass(Array::Class arrayClass) const	2	other				
Source/JavaScriptCore/dfg/DFGArrayMode.h	ArrayMode withArrayClassAndSpeculation(Array::Class arrayClass, Array::Speculation speculation, bool mayBeLargeTypedArray, bool mayBeResizableOrGrowableSharedTy	1	other				
Source/JavaScriptCore/dfg/DFGArrayMode.h	ArrayMode withConversion(Array::Conversion conversion) const	1	other				
Source/JavaScriptCore/dfg/DFGArrayMode.h	ArrayMode withProfile(ArrayProfile profile, bool makeSafe) const	2	gate-test	gate	an inserted gate test: one predicted-false byte test of a frozen Config or option byte flag off	tool	
Source/JavaScriptCore/dfg/DFGArrayMode.h	ArrayMode withSpeculation(Array::Speculation speculation) const	1	other				
Source/JavaScriptCore/dfg/DFGArrayMode.h	ArrayMode withType(Array::Type type) const	1	other				
Source/JavaScriptCore/dfg/DFGArrayMode.h	ArrayMode withTypeAndConversion(Array::Type type, Array::Conversion conversion) const	2	other				
Source/JavaScriptCore/dfg/DFGArrayMode.h	ArrayMode(Array::Type type, Array::Action action, Array::Speculation speculation)	1	other				
Source/JavaScriptCore/dfg/DFGArrayMode.h	ArrayMode(Array::Type type, Array::Class arrayClass, Array::Action action)	1	other				
Source/JavaScriptCore/dfg/DFGArrayMode.h	ArrayMode(Array::Type type, Array::Class arrayClass, Array::Conversion conversion, Array::Action action)	1	other				
Source/JavaScriptCore/dfg/DFGArrayMode.h	ArrayMode(Array::Type type, Array::Class arrayClass, Array::Speculation speculation, Array::Conversion conversion, Array::Action action, bool mayBeLargeTypedArr	1	other				
Source/JavaScriptCore/dfg/DFGArrayMode.h	explicit ArrayMode(Array::Type type, Array::Action action)	1	other				
Source/JavaScriptCore/dfg/DFGArrayMode.h	public: ArrayMode()	1	other				
Source/JavaScriptCore/dfg/DFGByteCodeParser.cpp	ArrayMode getArrayMode(ArrayProfile& liveProfile, Array::Action action)	1	relaxed-atomic				
Source/JavaScriptCore/dfg/DFGByteCodeParser.cpp	template<typename ChecksFunctor, typename SetResultFunctor> auto ByteCodeParser::handleArraySort(Node* callee, Operand resultOperand, CallVariant variant, int r	8	other				
Source/JavaScriptCore/dfg/DFGByteCodeParser.cpp	template<typename ChecksFunctor> auto ByteCodeParser::handleIntrinsicCall(Node* callee, Operand resultOperand, CallVariant variant, Intrinsic intrinsic, int reg	13	gate-test	gate	an inserted gate test: one predicted-false byte test of a frozen Config or option byte flag off	tool	
Source/JavaScriptCore/dfg/DFGByteCodeParser.cpp	template<typename ChecksFunctor> bool ByteCodeParser::handleIntrinsicGetter(Operand result, SpeculatedType prediction, const GetByVariant& variant, Node* thisNo	1	gate-test	gate	an inserted gate test: one predicted-false byte test of a frozen Config or option byte flag off	tool	
Source/JavaScriptCore/dfg/DFGByteCodeParser.cpp	void ByteCodeParser::handleAsyncIteratorNext(const JSInstruction* currentInstruction, BytecodeIndex osrExitIndex)	2	relaxed-atomic,gate-test				
Source/JavaScriptCore/dfg/DFGByteCodeParser.cpp	void ByteCodeParser::handleAsyncIteratorOpen(const JSInstruction* currentInstruction, BytecodeIndex osrExitIndex)	2	relaxed-atomic,gate-test				
Source/JavaScriptCore/dfg/DFGByteCodeParser.cpp	void ByteCodeParser::handleCheckTraps()	1	gate-test	gate	an inserted gate test: one predicted-false byte test of a frozen Config or option byte flag off	tool	
Source/JavaScriptCore/dfg/DFGByteCodeParser.cpp	void ByteCodeParser::handleDeleteById( VirtualRegister destination, Node* base, CacheableIdentifier identifier, unsigned identifierNumber, DeleteByStatus delete	1	gate-test	gate	an inserted gate test: one predicted-false byte test of a frozen Config or option byte flag off	tool	
Source/JavaScriptCore/dfg/DFGByteCodeParser.cpp	void ByteCodeParser::handleGetById( VirtualRegister destination, SpeculatedType prediction, Node* base, CacheableIdentifier identifier, unsigned identifierNumbe	1	gate-test	gate	an inserted gate test: one predicted-false byte test of a frozen Config or option byte flag off	tool	
Source/JavaScriptCore/dfg/DFGByteCodeParser.cpp	void ByteCodeParser::handleIteratorNext(const JSInstruction* currentInstruction, BytecodeIndex osrExitIndex)	3	relaxed-atomic,gate-test				
Source/JavaScriptCore/dfg/DFGByteCodeParser.cpp	void ByteCodeParser::handleIteratorOpen(const JSInstruction* currentInstruction, BytecodeIndex osrExitIndex)	3	relaxed-atomic,gate-test				
Source/JavaScriptCore/dfg/DFGByteCodeParser.cpp	void ByteCodeParser::handlePutById( Node* base, CacheableIdentifier identifier, unsigned identifierNumber, Node* value, const PutByStatus& putByStatus, bool isD	9	gate-test	gate	an inserted gate test: one predicted-false byte test of a frozen Config or option byte flag off	tool	
Source/JavaScriptCore/dfg/DFGByteCodeParser.cpp	void ByteCodeParser::handlePutPrivateNameById( Node* base, CacheableIdentifier identifier, unsigned identifierNumber, Node* value, const PutByStatus& putByStatu	2	gate-test	gate	an inserted gate test: one predicted-false byte test of a frozen Config or option byte flag off	tool	
Source/JavaScriptCore/dfg/DFGByteCodeParser.cpp	void ByteCodeParser::parseBlock(unsigned limit)	18	relaxed-atomic,gate-test				
Source/JavaScriptCore/dfg/DFGCallArrayAllocatorSlowPathGenerator.h	private: void generateInternal(SpeculativeJIT* jit) final	1	gate-test	gate	an inserted gate test: one predicted-false byte test of a frozen Config or option byte flag off	tool	
Source/JavaScriptCore/dfg/DFGClobberize.h	template<typename ReadFunctor, typename WriteFunctor, typename DefFunctor, typename ClobberTopFunctor> void clobberize(Graph& graph, Node* node, const ReadFunct	42	debug-assert,gate-test	gate	an inserted gate test: one predicted-false byte test of a frozen Config or option byte flag off	tool	
Source/JavaScriptCore/dfg/DFGClobbersExitState.cpp	bool clobbersExitState(Graph& graph, Node* node)	7	debug-assert,gate-test	gate	an inserted gate test: one predicted-false byte test of a frozen Config or option byte flag off	tool	
Source/JavaScriptCore/dfg/DFGCodeOriginPool.cpp	CallSiteIndex CodeOriginPool::addCodeOrigin(CodeOrigin codeOrigin)	1	other				
Source/JavaScriptCore/dfg/DFGCodeOriginPool.cpp	CallSiteIndex CodeOriginPool::addUniqueCallSiteIndex(CodeOrigin codeOrigin)	1	other				
Source/JavaScriptCore/dfg/DFGCodeOriginPool.cpp	DisposableCallSiteIndex CodeOriginPool::addDisposableCallSiteIndex(CodeOrigin codeOrigin)	2	gate-test	gate	an inserted gate test: one predicted-false byte test of a frozen Config or option byte flag off	tool	
Source/JavaScriptCore/dfg/DFGCodeOriginPool.cpp	void CodeOriginPool::removeDisposableCallSiteIndex(DisposableCallSiteIndex callSite)	1	gate-test	gate	an inserted gate test: one predicted-false byte test of a frozen Config or option byte flag off	tool	
Source/JavaScriptCore/dfg/DFGCodeOriginPool.cpp	void CodeOriginPool::shrinkToFit()	2	gate-test	gate	an inserted gate test: one predicted-false byte test of a frozen Config or option byte flag off	tool	
Source/JavaScriptCore/dfg/DFGCommonData.cpp	CommonData::~CommonData()	1	relaxed-atomic				
Source/JavaScriptCore/dfg/DFGCommonData.cpp	bool CommonData::invalidateLinkedCode()	6	relaxed-atomic				
Source/JavaScriptCore/dfg/DFGCommonData.cpp	void CommonData::installVMTrapBreakpoints(CodeBlock* owner)	3	fail-stop,relaxed-atomic,gate-test				
Source/JavaScriptCore/dfg/DFGConstantFoldingPhase.cpp	void emitPutByOffset(unsigned indexInBlock, Node* node, const AbstractValue& baseValue, const PutByVariant& variant, unsigned identifierNumber)	1	gate-test	gate	an inserted gate test: one predicted-false byte test of a frozen Config or option byte flag off	tool	
Source/JavaScriptCore/dfg/DFGConstantFoldingPhase.cpp	void tryFoldAsPutByOffset(Node* node, unsigned indexInBlock, Edge baseEdge, Edge valueEdge, bool isDirect, PrivateFieldPutKind privateFieldPutKind, bool& change	7	gate-test	gate	an inserted gate test: one predicted-false byte test of a frozen Config or option byte flag off	tool	
Source/JavaScriptCore/dfg/DFGDesiredGlobalProperties.cpp	bool DesiredGlobalProperties::reallyAdd(CodeBlock* codeBlock, DesiredIdentifiers& identifiers, WatchpointCollector& collector)	2	debug-assert,gate-test	gate	an inserted gate test: one predicted-false byte test of a frozen Config or option byte flag off	tool	
Source/JavaScriptCore/dfg/DFGDesiredWatchpoints.cpp	bool AdaptiveStructureWatchpointAdaptor::add(CodeBlock* codeBlock, const ObjectPropertyCondition& key, WatchpointCollector& collector)	2	other				
Source/JavaScriptCore/dfg/DFGDesiredWatchpoints.cpp	bool ArrayBufferViewWatchpointAdaptor::add(CodeBlock* codeBlock, JSArrayBufferView* view, WatchpointCollector& collector)	1	other				
Source/JavaScriptCore/dfg/DFGDesiredWatchpoints.cpp	bool FunctionExecutableAdaptor::add(CodeBlock* codeBlock, FunctionExecutable* executable, WatchpointCollector& collector)	1	other				
Source/JavaScriptCore/dfg/DFGDesiredWatchpoints.cpp	bool SymbolTableAdaptor::add(CodeBlock* codeBlock, SymbolTable* symbolTable, WatchpointCollector& collector)	1	other				
Source/JavaScriptCore/dfg/DFGDesiredWatchpoints.h	static bool add(CodeBlock* codeBlock, T set, WatchpointCollector& collector)	1	other				
Source/JavaScriptCore/dfg/DFGDesiredWeakReferences.cpp	void DesiredWeakReferences::reallyAdd(VM& vm, CodeBlock* codeBlock, CommonData* common)	1	other				
Source/JavaScriptCore/dfg/DFGDoesGC.cpp	bool doesGC(Graph& graph, Node* node)	2	other				
Source/JavaScriptCore/dfg/DFGDoesGCCheck.cpp	void DoesGCCheck::verifyCanGC(VM& vm)	1	other				
Source/JavaScriptCore/dfg/DFGDriver.cpp	static CompilationResult compileImpl( VM& vm, CodeBlock* codeBlock, CodeBlock* profiledDFGCodeBlock, JITCompilationMode mode, BytecodeIndex osrEntryBytecodeInde	1	locked-rmw,relaxed-atomic				
Source/JavaScriptCore/dfg/DFGDriver.cpp	unsigned getNumCompilations()	1	relaxed-atomic				
Source/JavaScriptCore/dfg/DFGFixupPhase.cpp	Node* checkArray(ArrayMode arrayMode, const NodeOrigin& origin, Node* array, Node* index, bool (*storageCheck)(const ArrayMode&) = canCSEStorage)	2	gate-test	gate	an inserted gate test: one predicted-false byte test of a frozen Config or option byte flag off	tool	
Source/JavaScriptCore/dfg/DFGFixupPhase.cpp	bool attemptToMakeGetArrayLength(Node* node)	1	relaxed-atomic				
Source/JavaScriptCore/dfg/DFGFixupPhase.cpp	void fixupNode(Node* node)	5	other				
Source/JavaScriptCore/dfg/DFGFixupPhase.cpp	void setJSArraySaneChainIfPossible(Node* node)	2	other				
Source/JavaScriptCore/dfg/DFGGraph.cpp	const ConcatKeyAtomStringCache* Graph::tryAddConcatKeyAtomStringCache(const String& s0, const String& s1, ConcatKeyAtomStringCache::Mode mode)	3	other				
Source/JavaScriptCore/dfg/DFGGraph.cpp	void Graph::dump(PrintStream& out, const char* prefixStr, Node* node, DumpContext* context, bool inIonGraph)	2	other				
Source/JavaScriptCore/dfg/DFGJITCode.cpp	template<typename WatchpointSet> static bool attemptToWatch(CodeBlock* codeBlock, WatchpointSet& set, CodeBlockJettisoningWatchpoint& watchpoint)	1	other				
Source/JavaScriptCore/dfg/DFGJITCode.cpp	void JITCode::clearOSREntryBlockAndResetThresholds(CodeBlock *dfgCodeBlock)	5	debug-assert,gate-test	gate	an inserted gate test: one predicted-false byte test of a frozen Config or option byte flag off	tool	
Source/JavaScriptCore/dfg/DFGJITCode.cpp	void JITCode::setOptimizationThresholdBasedOnCompilationResult( CodeBlock* codeBlock, CompilationResult result)	2	other				
Source/JavaScriptCore/dfg/DFGJITCode.h	void setExitCode(unsigned exitIndex, MacroAssemblerCodeRef<OSRExitPtrTag> code)	12	fence,relaxed-atomic,gate-test				
Source/JavaScriptCore/dfg/DFGJITCompiler.cpp	void JITCompiler::compileEntry()	3	gate-test	gate	an inserted gate test: one predicted-false byte test of a frozen Config or option byte flag off	tool	
Source/JavaScriptCore/dfg/DFGJITCompiler.cpp	void JITCompiler::link(LinkBuffer& linkBuffer)	2	gate-test	gate	an inserted gate test: one predicted-false byte test of a frozen Config or option byte flag off	tool	
Source/JavaScriptCore/dfg/DFGJITCompiler.cpp	void JITCompiler::linkOSRExits()	3	gate-test	gate	an inserted gate test: one predicted-false byte test of a frozen Config or option byte flag off	tool	
Source/JavaScriptCore/dfg/DFGJITCompiler.cpp	void JITCompiler::makeCatchOSREntryBuffer()	1	gate-test	gate	an inserted gate test: one predicted-false byte test of a frozen Config or option byte flag off	tool	
Source/JavaScriptCore/dfg/DFGJITFinalizer.cpp	bool JITFinalizer::finalize()	7	other				
Source/JavaScriptCore/dfg/DFGJumpReplacement.cpp	void JumpReplacement::fire()	1	other				
Source/JavaScriptCore/dfg/DFGJumpReplacement.cpp	void JumpReplacement::installVMTrapBreakpoint()	1	fail-stop,gate-test				
Source/JavaScriptCore/dfg/DFGMayExit.cpp	template<typename StateType> ExitMode mayExitImpl(Graph& graph, Node* node, StateType& state)	7	gate-test	gate	an inserted gate test: one predicted-false byte test of a frozen Config or option byte flag off	tool	
Source/JavaScriptCore/dfg/DFGNode.h	bool hasStructure()	1	other				
Source/JavaScriptCore/dfg/DFGOSREntry.cpp	CodePtr<ExceptionHandlerPtrTag> prepareCatchOSREntry(VM& vm, CallFrame* callFrame, CodeBlock* baselineCodeBlock, CodeBlock* optimizedCodeBlock, BytecodeIndex by	7	fail-stop	fail-stop	a RELEASE_ASSERT or crash that flag off never reaches with the invariant it states	tool	
Source/JavaScriptCore/dfg/DFGOSREntry.cpp	SUPPRESS_ASAN void* prepareOSREntry(VM& vm, CallFrame* callFrame, CodeBlock* codeBlock, BytecodeIndex bytecodeIndex)	1	other				
Source/JavaScriptCore/dfg/DFGOSRExit.cpp	IGNORE_WARNINGS_END static void materializePerLiteScratchBuffer(CCallHelpers& jit, unsigned bakedIndex, GPRReg dest)	13	debug-assert	debug-assert	assertion only: no release-build code	tool	
Source/JavaScriptCore/dfg/DFGOSRExit.cpp	JSC_DEFINE_NOEXCEPT_JIT_OPERATION(operationCompileOSRExit, void, (CallFrame* callFrame, void* bufferToPreserve))	17	fail-stop,debug-assert,fence,gate-test				
Source/JavaScriptCore/dfg/DFGOSRExit.cpp	void OSRExit::compileExit(CCallHelpers& jit, VM& vm, const OSRExit& exit, const Operands<ValueRecovery>& operands, SpeculationRecovery* recovery, uint32_t osrEx	45	gate-test	gate	an inserted gate test: one predicted-false byte test of a frozen Config or option byte flag off	tool	
Source/JavaScriptCore/dfg/DFGOSRExitCompilerCommon.cpp	void adjustAndJumpToTarget(VM& vm, CCallHelpers& jit, const OSRExitBase& exit)	2	gate-test	gate	an inserted gate test: one predicted-false byte test of a frozen Config or option byte flag off	tool	
Source/JavaScriptCore/dfg/DFGOSRExitCompilerCommon.h	template <typename JITCodeType> void adjustFrameAndStackInOSRExitCompilerThunk(AssemblyHelpers& jit, VM& vm, JITType jitType)	26	gate-test	gate	an inserted gate test: one predicted-false byte test of a frozen Config or option byte flag off	tool	
Source/JavaScriptCore/dfg/DFGObjectAllocationSinkingPhase.cpp	template<typename WriteFunctor, typename ResolveFunctor> void handleNode( Node* node, const WriteFunctor& heapWrite, const ResolveFunctor& heapResolve)	9	other				
Source/JavaScriptCore/dfg/DFGOperations.cpp	IGNORE_WARNINGS_BEGIN( ) WTF_ALLOW_UNSAFE_BUFFER_USAGE_BEGIN namespace JSC	135	fail-stop,debug-assert,lock,relaxed-atomic,gate-test				
Source/JavaScriptCore/dfg/DFGPlan.cpp	CompilationResult Plan::finalize()	1	lock,gate-test				
Source/JavaScriptCore/dfg/DFGPlan.cpp	Plan::CompilationPath Plan::compileInThreadImpl()	4	other				
Source/JavaScriptCore/dfg/DFGPlan.cpp	bool Plan::reallyAdd(CommonData* commonData)	4	other				
Source/JavaScriptCore/dfg/DFGPredictionPropagationPhase.cpp	void processInvariantsForNode()	4	other				
Source/JavaScriptCore/dfg/DFGSSALoweringPhase.cpp	bool lowerBoundsCheck(Edge base, Edge index, Edge storage)	1	gate-test	gate	an inserted gate test: one predicted-false byte test of a frozen Config or option byte flag off	tool	
Source/JavaScriptCore/dfg/DFGSafeToExecute.h	template<typename AbstractStateType> bool safeToExecute(AbstractStateType& state, Graph& graph, Node* node, bool ignoreEmptyChildren = false)	3	other				
Source/JavaScriptCore/dfg/DFGSpeculativeJIT.cpp	static void emitStackOverflowCheck(JITCompiler& jit, MacroAssembler::JumpList& stackOverflow)	1	other				
Source/JavaScriptCore/dfg/DFGSpeculativeJIT.cpp	void SpeculativeJIT::compileAllocatePropertyStorage(Node* node)	7	gate-test	gate	an inserted gate test: one predicted-false byte test of a frozen Config or option byte flag off	tool	
Source/JavaScriptCore/dfg/DFGSpeculativeJIT.cpp	void SpeculativeJIT::compileArithMinMax(Node* node)	1	other				
Source/JavaScriptCore/dfg/DFGSpeculativeJIT.cpp	void SpeculativeJIT::compileArrayPush(Node* node)	46	gate-test	gate	an inserted gate test: one predicted-false byte test of a frozen Config or option byte flag off	tool	
Source/JavaScriptCore/dfg/DFGSpeculativeJIT.cpp	void SpeculativeJIT::compileArraySlice(Node* node)	3	gate-test	gate	an inserted gate test: one predicted-false byte test of a frozen Config or option byte flag off	tool	
Source/JavaScriptCore/dfg/DFGSpeculativeJIT.cpp	void SpeculativeJIT::compileArraySortCommit(Node* node)	7	gate-test	gate	an inserted gate test: one predicted-false byte test of a frozen Config or option byte flag off	tool	
Source/JavaScriptCore/dfg/DFGSpeculativeJIT.cpp	void SpeculativeJIT::compileArraySortCompact(Node* node)	4	gate-test	gate	an inserted gate test: one predicted-false byte test of a frozen Config or option byte flag off	tool	
Source/JavaScriptCore/dfg/DFGSpeculativeJIT.cpp	void SpeculativeJIT::compileArraySplice(Node* node)	1	other				
Source/JavaScriptCore/dfg/DFGSpeculativeJIT.cpp	void SpeculativeJIT::compileBody()	2	gate-test	gate	an inserted gate test: one predicted-false byte test of a frozen Config or option byte flag off	tool	
Source/JavaScriptCore/dfg/DFGSpeculativeJIT.cpp	void SpeculativeJIT::compileCallCustomAccessorGetter(Node* node)	1	other				
Source/JavaScriptCore/dfg/DFGSpeculativeJIT.cpp	void SpeculativeJIT::compileCallCustomAccessorSetter(Node* node)	1	other				
Source/JavaScriptCore/dfg/DFGSpeculativeJIT.cpp	void SpeculativeJIT::compileCallDOMGetter(Node* node)	1	other				
Source/JavaScriptCore/dfg/DFGSpeculativeJIT.cpp	void SpeculativeJIT::compileCheckDetached(Node* node)	1	other				
Source/JavaScriptCore/dfg/DFGSpeculativeJIT.cpp	void SpeculativeJIT::compileCheckTraps(Node* node)	1	gate-test	gate	an inserted gate test: one predicted-false byte test of a frozen Config or option byte flag off	tool	
Source/JavaScriptCore/dfg/DFGSpeculativeJIT.cpp	void SpeculativeJIT::compileClearCatchLocals(Node* node)	1	gate-test	gate	an inserted gate test: one predicted-false byte test of a frozen Config or option byte flag off	tool	
Source/JavaScriptCore/dfg/DFGSpeculativeJIT.cpp	void SpeculativeJIT::compileContiguousPutByVal(Node* node)	6	gate-test	gate	an inserted gate test: one predicted-false byte test of a frozen Config or option byte flag off	tool	
Source/JavaScriptCore/dfg/DFGSpeculativeJIT.cpp	void SpeculativeJIT::compileCreateRest(Node* node)	1	gate-test	gate	an inserted gate test: one predicted-false byte test of a frozen Config or option byte flag off	tool	
Source/JavaScriptCore/dfg/DFGSpeculativeJIT.cpp	void SpeculativeJIT::compileCreateThis(Node* node)	2	gate-test	gate	an inserted gate test: one predicted-false byte test of a frozen Config or option byte flag off	tool	
Source/JavaScriptCore/dfg/DFGSpeculativeJIT.cpp	void SpeculativeJIT::compileCurrentBlock()	3	gate-test	gate	an inserted gate test: one predicted-false byte test of a frozen Config or option byte flag off	tool	
Source/JavaScriptCore/dfg/DFGSpeculativeJIT.cpp	void SpeculativeJIT::compileDoublePutByVal(Node* node)	6	gate-test	gate	an inserted gate test: one predicted-false byte test of a frozen Config or option byte flag off	tool	
Source/JavaScriptCore/dfg/DFGSpeculativeJIT.cpp	void SpeculativeJIT::compileEnqueueAsyncGeneratorDriver(Node* node)	1	other				
Source/JavaScriptCore/dfg/DFGSpeculativeJIT.cpp	void SpeculativeJIT::compileEnumeratorGetByVal(Node* node)	3	other				
Source/JavaScriptCore/dfg/DFGSpeculativeJIT.cpp	void SpeculativeJIT::compileExtractCatchLocal(Node* node)	1	gate-test	gate	an inserted gate test: one predicted-false byte test of a frozen Config or option byte flag off	tool	
Source/JavaScriptCore/dfg/DFGSpeculativeJIT.cpp	void SpeculativeJIT::compileGetArrayLength(Node* node)	1	gate-test	gate	an inserted gate test: one predicted-false byte test of a frozen Config or option byte flag off	tool	
Source/JavaScriptCore/dfg/DFGSpeculativeJIT.cpp	void SpeculativeJIT::compileGetButterfly(Node* node)	1	gate-test	gate	an inserted gate test: one predicted-false byte test of a frozen Config or option byte flag off	tool	
Source/JavaScriptCore/dfg/DFGSpeculativeJIT.cpp	void SpeculativeJIT::compileLoadMapValue(Node* node)	3	gate-test	gate	an inserted gate test: one predicted-false byte test of a frozen Config or option byte flag off	tool	
